"relative_path","area","artifact_kind","bytes","lines","sha256"
"app/cpy/CSSETATY.cpy","core-application","COBOL copybook or generated BMS copybook","1915","30","7c8786b6e8105d7b6b93c331fdf7616bf9005d3d5681f194c5c43d7ed2497e85"
"app/cpy/CSSTRPFY.cpy","core-application","COBOL copybook or generated BMS copybook","6688","85","0459e90b39d51df4558b9d690b0a39f9688605dcfd3eef56c363188ea3b9c326"
"app/cpy/CSUSR01Y.cpy","core-application","COBOL copybook or generated BMS copybook","1608","26","8b164952a8dbf5c8081ea715ab4d865b962b80886c20272bb3a4ea216b48fc90"
"app/cpy/CSUTLDPY.cpy","core-application","COBOL copybook or generated BMS copybook","13436","375","ed3ced09c0c525c404fca28960840bf86ae6ace1c86adf7d745409ba8d264e37"
"app/cpy/CSUTLDWY.cpy","core-application","COBOL copybook or generated BMS copybook","5352","89","47eb2f5c2b53ebd6e5db3c88c375b318fcd30d939e0948f83038f2b7a9ae242d"
"app/cpy/CUSTREC.cpy","core-application","COBOL copybook or generated BMS copybook","1544","26","a4cd161cb21c45081a0f50574c90bbe6c03b83b3aaedc3a1ba2ce67aaef8d2de"
"app/cpy/CVACT01Y.cpy","core-application","COBOL copybook or generated BMS copybook","1145","20","b14ac0cf22440a6f6091e578dcece62be93446c525eb6f2ab2d6d9405098a631"
"app/cpy/CVACT02Y.cpy","core-application","COBOL copybook or generated BMS copybook","744","14","ef183c73f10d7130123749d961ea3679e56c3827a6fc0e6ffe27e803fd1177bb"
"app/cpy/CVACT03Y.cpy","core-application","COBOL copybook or generated BMS copybook","747","11","0c084476c3cfe603c5e81e1c3ecaab1bd128d30c3882c239cea36b96f16f445c"
"app/cpy/CVCRD01Y.cpy","core-application","COBOL copybook or generated BMS copybook","3482","46","ff1abb3c7ae8c5242c4237d565fa42bb73c04c17cceeeb4a89dc1c4dc1ab0124"
"app/cpy/CVCUS01Y.cpy","core-application","COBOL copybook or generated BMS copybook","1614","26","41cebaf673d70bf17a5d191330fdb4e3dbcb82b0f4a27a3928cc27203f3f05e9"
"app/cpy/CVEXPORT.cpy","core-application","COBOL copybook or generated BMS copybook","6271","103","84d2c4cbff51998d106450cdfb9944586cc86d7d07f1dfc0b0e3d736e0272310"
"app/cpy/CVTRA01Y.cpy","core-application","COBOL copybook or generated BMS copybook","911","13","270947433c1c269d23422de2e330a448d11a4bb1c155ee42d32b67e7fdb73e71"
"app/cpy/CVTRA02Y.cpy","core-application","COBOL copybook or generated BMS copybook","911","13","a52d963690250e8c367031dbfe3a676c136c774340c98175dfba13ccede65c07"
"app/cpy/CVTRA03Y.cpy","core-application","COBOL copybook or generated BMS copybook","665","10","d92591968ebd756b7aedd833c7d6db2b725cfff9ccf146001fde3d1fe35e9bd7"
"app/cpy/CVTRA04Y.cpy","core-application","COBOL copybook or generated BMS copybook","829","12","9cb9b451fc4c3d4d0404f66bc1be995bff9f05146ddb4ec87ee8173b9f357aa1"
"app/cpy/CVTRA05Y.cpy","core-application","COBOL copybook or generated BMS copybook","1567","21","9e568ff691ee3b63c216cab406f03acaff6a7c79ec23608525664d34769c8cdb"
"app/cpy/CVTRA06Y.cpy","core-application","COBOL copybook or generated BMS copybook","1559","21","03f47e9c644960076fc97de0fc216faffdee95fed1823974956dbcbf2ecda231"
